case_id,date,complaint_type,building_age,borough,days_since_last_service,time_of_day,season,status
1,2025-04-19 12:00:54.600610,No Heat,50,Brooklyn,24,Evening,Spring,Found Okay
2,2024-08-16 12:00:54.601230,No Hot Water,55,Queens,110,Morning,Fall,Found Okay
3,2024-11-02 12:00:54.601237,No Hot Water,97,Queens,113,Morning,Spring,Found Okay
4,2025-04-15 12:00:54.601241,Power Out,70,Manhattan,291,Evening,Spring,Found Okay
5,2025-05-20 12:00:54.601245,Power Out,60,Staten Island,446,Afternoon,Fall,Found Okay
6,2025-01-23 12:00:54.601249,No Hot Water,36,Manhattan,15,Night,Summer,Found Okay
7,2025-07-10 12:00:54.601252,Gas Smell,52,Bronx,67,Afternoon,Spring,Needs Repair
8,2025-04-19 12:00:54.601256,No Heat,37,Manhattan,63,Morning,Spring,Found Okay
9,2025-03-31 12:00:54.601261,Meter Issue,62,Manhattan,996,Morning,Summer,Found Okay
10,2024-12-28 12:00:54.601264,No Hot Water,52,Manhattan,147,Afternoon,Summer,Found Okay
11,2024-09-03 12:00:54.601268,Power Out,33,Manhattan,381,Afternoon,Summer,Needs Repair
12,2025-05-04 12:00:54.601271,No Heat,51,Staten Island,99,Morning,Summer,Found Okay
13,2025-04-22 12:00:54.601274,No Heat,37,Staten Island,230,Evening,Winter,Found Okay
14,2024-08-05 12:00:54.601278,No Hot Water,52,Staten Island,60,Evening,Summer,Needs Repair
15,2025-03-01 12:00:54.601281,Meter Issue,37,Bronx,437,Night,Summer,Found Okay
16,2025-03-22 12:00:54.601284,No Hot Water,50,Bronx,109,Morning,Summer,Found Okay
17,2025-03-03 12:00:54.601287,Meter Issue,61,Manhattan,293,Morning,Winter,Found Okay
18,2024-09-25 12:00:54.601291,No Hot Water,49,Staten Island,53,Night,Fall,Found Okay
19,2024-11-15 12:00:54.601294,No Hot Water,44,Bronx,212,Morning,Summer,Found Okay
20,2024-08-21 12:00:54.601297,No Heat,53,Queens,93,Morning,Winter,Needs Repair
21,2024-10-10 12:00:54.601300,Power Out,60,Manhattan,5,Afternoon,Spring,Found Okay
